"serverTime","source","sign","sourceTime","logLevel","process","message"
"Tue Mar 06 2018 23:09:11 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:09:11 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:12:30 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:12:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:15:50 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:15:50 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:19:11 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:19:11 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:22:31 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:22:31 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:25:50 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:25:50 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:29:10 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:29:10 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:32:30 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:32:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:35:51 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:35:51 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:39:10 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:39:10 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:42:30 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:42:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:45:51 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:45:51 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:49:11 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:49:11 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:52:31 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:52:31 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Tue Mar 06 2018 23:55:51 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:55:51 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Tue Mar 06 2018 23:59:11 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:59:11 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
